Weight,Size,Class
7,7.48,0
14,14.9,0
15,15.65,0
16,16.46,0
17,17.15,0
17,17.64,0
18,18.79,0
20,20.59,0
21,21.21,0
22,22.16,0
22,22.23,0
22,22.25,0
22,22.25,0
22,22.49,0
22,22.78,0
23,23.66,0
24,24.8,0
25,25.65,0
26,26.02,0
26,26.7,0
26,26.93,0
27,27.98,0
28,28.3,0
28,28.9,0
29,29.63,0
29,29.88,0
34,34.48,0
35,35.09,0
35,35.57,0
35,35.58,0
36,36.55,0
39,39.61,0
40,40.1,0
41,41.23,1
41,41.9,0
45,45.39,0
47,47.59,0
48,48.09,1
51,51.32,1
51,51.92,1
52,52.15,0
53,53.27,1
54,54.89,0
55,55.02,1
55,55.06,0
56,56.44,1
58,58.4,1
58,58.44,1
58,58.69,0
59,59.65,1
59,59.95,1
60,60.35,0
62,62.12,1
63,63.3,1
63,63.64,1
64,64.34,1
64,64.69,0
65,65.15,1
65,65.46,0
65,65.94,1
66,66.36,1
69,69.51,1
71,71.64,1
72,72.42,1
72,72.88,1
73,73.55,1
75,75.31,0
75,75.51,1
75,75.88,1
75,75.95,0
77,77.81,0
79,79.56,0
79,79.57,1
81,81.08,1
81,81.42,0
81,81.65,1
82,82.56,1
83,83.51,1
83,83.68,0
85,85.38,1
86,86.38,1
86,86.9,1
87,87.07,1
88,88.15,1
92,92.71,1
99,99.98,1
102,102.29,1
103,103.15,1
104,104.77,1
105,105.02,1
105,105.06,1
107,107.28,1
112,112.54,1
112,112.9,1
113,113.34,1
115,115.01,1
116,116.46,1
120,120.59,1
123,123.37,1
