ID,Sensor1,Sensor2
0,0,15
1,69,4
2,53,2
3,93,6
4,14,3
5,26,0
6,29,1
7,0,2
8,5,3
9,99,0
10,58,3
11,21,3
12,82,1
13,27,5
14,45,1
15,10,7
16,65,4
17,37,13
18,43,4
19,48,0
20,81,13
21,0,8
22,34,6
23,2,9
24,37,0
25,56,1
26,64,0
27,53,4
28,50,4
29,111,2
30,31,4
31,29,1
32,0,46
33,33,11
34,41,0
35,0,5
36,46,3
37,55,5
38,32,2
39,31,3
40,140,7
41,60,38
42,80,13
43,125,4
44,38,0
45,45,8
46,6,0
47,69,10
48,35,1
49,41,0
50,36,7
51,81,4
52,30,3
53,90,0
54,62,0
55,21,2
56,10,1
57,2,4
58,36,0
59,29,0
60,0,0
61,13,6
62,46,1
63,21,3
64,13,17
65,66,1
66,133,0
67,57,1
68,96,2
69,14,6
70,66,3
71,32,6
72,10,1
73,78,0
74,11,7
75,41,2
76,6,6
77,0,4
78,36,2
79,47,1
80,83,0
81,49,3
82,68,12
83,0,15
84,69,18
85,59,15
86,66,9
87,0,0
88,0,0
89,69,0
90,103,5
91,30,6
92,102,5
93,38,9
94,45,0
95,52,17
96,12,12
97,14,5
98,32,2
99,118,5
100,20,5
101,46,1
102,12,0
103,133,2
104,61,3
105,71,3
106,38,2
107,33,4
108,58,0
109,64,4
110,23,0
111,32,4
112,0,1
113,30,0
114,57,5
115,103,1
116,33,3
117,37,4
118,64,5
119,59,0
120,2,0
121,28,1
122,0,4
123,22,4
124,13,0
125,63,1
126,87,4
127,102,1
128,32,12
129,0,1
130,21,3
131,26,2
132,47,0
133,23,5
134,49,4
135,60,1
136,7,1
137,0,3
138,82,10
139,23,3
140,51,6
141,16,1
142,56,2
143,4,1
144,14,0
145,8,0
146,38,5
147,5,3
148,45,0
149,60,0
150,62,1
151,50,7
152,75,5
153,21,7
154,32,1
155,0,3
156,122,3
157,4,3
158,49,0
159,13,6
160,103,0
161,19,20
162,26,7
163,68,5
164,55,0
165,112,1
166,27,1
