ID,Sensor1,Sensor2
0,4,8
1,8,3
2,28,10
3,0,1
4,5,3
5,7,3
6,7,6
7,0,10
8,8,1
9,7,1
10,1,4
11,27,0
12,31,4
13,0,2
14,11,2
15,8,2
16,20,3
17,43,1
18,33,2
19,2,7
20,23,2
21,65,0
22,43,1
23,90,6
24,3,4
25,40,11
26,60,0
27,44,17
28,45,3
29,19,3
30,54,3
31,4,5
32,1,24
33,47,7
34,60,1
35,15,2
36,94,6
37,51,10
38,14,4
39,28,5
40,35,1
41,39,10
42,45,1
43,29,3
44,83,14
45,15,0
46,12,0
47,31,10
48,57,0
49,35,0
50,36,4
51,44,5
52,42,0
53,35,1
54,17,0
55,17,3
56,29,9
57,62,3
58,22,1
59,45,0
60,4,6
61,8,4
62,53,39
63,114,7
64,91,0
65,8,7
66,28,0
67,10,10
68,40,3
69,6,3
70,11,4
71,28,24
72,22,7
73,8,5
74,0,0
75,71,4
76,60,3
77,38,4
78,0,0
79,0,8
80,23,0
81,66,9
82,53,3
83,26,2
84,16,4
85,62,6
86,52,10
87,7,0
88,0,9
89,30,0
90,35,2
91,38,2
92,0,0
93,37,7
94,29,4
95,20,2
96,92,1
97,58,2
98,5,8
99,36,2
100,20,13
101,24,19
102,9,3
103,26,22
104,9,2
105,42,6
106,19,9
107,23,0
108,10,7
109,40,0
110,19,0
111,39,11
112,43,5
113,15,1
114,142,1
115,41,0
116,23,1
117,60,3
118,61,0
119,59,16
120,21,11
121,22,1
122,3,1
123,43,2
124,102,17
125,0,2
126,47,12
127,34,10
128,3,11
129,32,7
130,68,8
131,33,5
132,57,11
133,39,0
134,21,0
135,80,10
136,30,8
137,64,17
138,12,7
139,30,24
140,33,3
141,0,1
142,19,0
143,77,1
144,24,0
145,46,2
146,90,5
147,7,6
148,8,2
149,13,9
150,74,0
151,65,7
152,26,7
153,5,13
154,35,1
155,28,1
156,56,6
157,6,1
158,40,4
159,58,14
160,2,8
161,72,0
162,98,25
163,36,2
164,35,3
165,45,3
166,29,2
167,31,3
168,87,2
169,40,22
170,34,1
171,44,18
172,34,15
173,7,0
174,27,10
175,30,3
176,22,1
177,84,18
178,63,11
179,33,4
180,29,7
181,36,32
182,83,7
183,9,8
184,0,2
185,10,2
186,19,6
187,50,3
188,49,16
189,39,14
190,7,0
191,37,3
192,9,14
193,75,1
194,62,2
195,88,6
196,134,1
197,54,4
198,73,3
199,18,1
200,80,15
201,12,0
202,46,8
203,138,6
204,75,0
205,0,9
206,43,4
207,46,8
208,38,1
209,121,0
210,60,1
211,9,3
212,40,2
213,81,7
214,57,35
215,43,11
216,64,5
217,28,5
218,54,4
219,27,4
220,76,0
221,105,1
222,15,6
223,71,55
224,26,5
225,32,2
226,7,4
227,40,2
228,70,9
229,93,6
230,59,1
231,1,5
232,45,3
233,23,5
234,0,1
