ID,Time,Sensorvalue,Voltage
0,10206,11.0,0.05376344
1,10207,25.0,0.12218964
2,10207,0.0,0.0
3,10207,10.0,0.048875853
4,10207,1.0,0.0048875855
5,10207,5.0,0.024437927
6,10207,1.0,0.0048875855
7,10207,11.0,0.05376344
8,10207,6.0,0.029325513
9,10207,5.0,0.024437927
10,10207,2.0,0.009775171
11,10208,6.0,0.029325513
12,10208,10.0,0.048875853
13,10208,19.0,0.092864126
14,10208,11.0,0.05376344
15,10208,14.0,0.0684262
16,10208,9.0,0.04398827
17,10208,8.0,0.039100684
18,10208,2.0,0.009775171
19,10208,2.0,0.009775171
20,10208,11.0,0.05376344
21,10209,19.0,0.092864126
22,10209,8.0,0.039100684
23,10209,1.0,0.0048875855
24,10209,6.0,0.029325513
25,10209,10.0,0.048875853
26,10209,13.0,0.06353861
27,10209,2.0,0.009775171
28,10209,0.0,0.0
29,10209,9.0,0.04398827
30,10209,7.0,0.0342131
31,102010,6.0,0.029325513
32,102010,10.0,0.048875853
33,102010,1.0,0.0048875855
34,102010,1.0,0.0048875855
35,102010,7.0,0.0342131
36,102010,15.0,0.07331378
37,102010,79.0,0.38611925
38,102010,13.0,0.06353861
39,102010,125.0,0.6109482
40,102010,172.0,0.8406647
41,102011,139.0,0.6793744
42,102011,27.0,0.1319648
43,102011,104.0,0.5083089
44,102011,32.0,0.15640274
45,102011,56.0,0.2737048
46,102011,10.0,0.048875853
47,102011,4.0,0.019550342
48,102011,5.0,0.024437927
49,102011,14.0,0.0684262
50,102011,11.0,0.05376344
51,102012,95.0,0.46432063
52,102012,7.0,0.0342131
53,102012,4.0,0.019550342
54,102012,4.0,0.019550342
55,102012,13.0,0.06353861
56,102012,14.0,0.0684262
57,102012,12.0,0.058651026
58,102012,8.0,0.039100684
59,102012,2.0,0.009775171
60,102012,7.0,0.0342131
61,102013,13.0,0.06353861
62,102013,11.0,0.05376344
63,102013,1.0,0.0048875855
64,102013,16.0,0.07820137
65,102013,8.0,0.039100684
66,102013,7.0,0.0342131
67,102013,7.0,0.0342131
68,102013,12.0,0.058651026
69,102013,3.0,0.014662757
70,102013,9.0,0.04398827
71,102014,35.0,0.1710655
72,102014,24.0,0.11730205
73,102014,43.0,0.21016617
74,102014,50.0,0.24437928
75,102014,24.0,0.11730205
76,102014,14.0,0.0684262
77,102014,237.0,1.1583577
78,102014,29.0,0.14173998
79,102014,110.0,0.53763443
80,102014,13.0,0.06353861
81,102015,39.0,0.19061583
82,102015,12.0,0.058651026
83,102015,6.0,0.029325513
84,102015,34.0,0.16617791
85,102015,4.0,0.019550342
86,102015,119.0,0.58162266
87,102015,27.0,0.1319648
88,102015,44.0,0.21505377
89,102015,28.0,0.1368524
90,102015,23.0,0.112414464
