ID,Time,Sensorvalue,Voltage
0,101755,4.0,0.019550342
1,101755,7.0,0.0342131
2,101755,2.0,0.009775171
3,101755,12.0,0.058651026
4,101755,12.0,0.058651026
5,101755,8.0,0.039100684
6,101756,2.0,0.009775171
7,101756,4.0,0.019550342
8,101756,7.0,0.0342131
9,101756,13.0,0.06353861
10,101756,1.0,0.0048875855
11,101756,14.0,0.0684262
12,101756,1.0,0.0048875855
13,101756,0.0,0.0
14,101756,0.0,0.0
15,101757,6.0,0.029325513
16,101757,3.0,0.014662757
17,101757,2.0,0.009775171
18,101757,5.0,0.024437927
19,101757,4.0,0.019550342
20,101757,0.0,0.0
21,101757,9.0,0.04398827
22,101757,9.0,0.04398827
23,101757,7.0,0.0342131
24,101757,8.0,0.039100684
25,101758,8.0,0.039100684
26,101758,1.0,0.0048875855
27,101758,11.0,0.05376344
28,101758,11.0,0.05376344
29,101758,1.0,0.0048875855
30,101758,0.0,0.0
31,101758,6.0,0.029325513
32,101758,24.0,0.11730205
33,101758,4.0,0.019550342
34,101758,19.0,0.092864126
35,101759,4.0,0.019550342
36,101759,0.0,0.0
37,101759,10.0,0.048875853
38,101759,1.0,0.0048875855
39,101759,4.0,0.019550342
40,101759,9.0,0.04398827
41,101759,8.0,0.039100684
42,101759,5.0,0.024437927
43,101759,8.0,0.039100684
44,101759,25.0,0.12218964
45,10180,2.0,0.009775171
46,10180,2.0,0.009775171
47,10180,2.0,0.009775171
48,10180,8.0,0.039100684
49,10180,1.0,0.0048875855
50,10180,2.0,0.009775171
51,10180,20.0,0.09775171
52,10180,36.0,0.17595308
53,10180,14.0,0.0684262
54,10180,9.0,0.04398827
55,10181,8.0,0.039100684
56,10181,36.0,0.17595308
57,10181,10.0,0.048875853
58,10181,21.0,0.102639295
59,10181,88.0,0.43010753
60,10181,53.0,0.25904202
61,10181,56.0,0.2737048
62,10181,4.0,0.019550342
63,10181,16.0,0.07820137
64,10181,13.0,0.06353861
65,10182,54.0,0.2639296
66,10182,26.0,0.12707722
67,10182,18.0,0.08797654
68,10182,7.0,0.0342131
69,10182,5.0,0.024437927
70,10182,5.0,0.024437927
71,10182,9.0,0.04398827
72,10182,2.0,0.009775171
73,10182,9.0,0.04398827
74,10182,1.0,0.0048875855
75,10183,0.0,0.0
76,10183,16.0,0.07820137
77,10183,2.0,0.009775171
78,10183,1.0,0.0048875855
79,10183,6.0,0.029325513
80,10183,19.0,0.092864126
81,10183,10.0,0.048875853
82,10183,13.0,0.06353861
83,10183,10.0,0.048875853
84,10183,3.0,0.014662757
85,10184,10.0,0.048875853
86,10184,0.0,0.0
87,10184,18.0,0.08797654
88,10184,4.0,0.019550342
89,10184,15.0,0.07331378
90,10184,4.0,0.019550342
91,10184,70.0,0.342131
92,10184,64.0,0.31280547
93,10184,25.0,0.12218964
94,10184,76.0,0.3714565
95,10185,15.0,0.07331378
96,10185,8.0,0.039100684
97,10185,0.0,0.0
98,10185,3.0,0.014662757
99,10185,122.0,0.59628546
100,10185,55.0,0.26881722
101,10185,0.0,0.0
102,10185,33.0,0.16129032
103,10185,9.0,0.04398827
104,10185,12.0,0.058651026
105,10186,25.0,0.12218964
106,10186,16.0,0.07820137
107,10186,16.0,0.07820137
108,10186,4.0,0.019550342
109,10186,6.0,0.029325513
110,10186,23.0,0.112414464
111,10186,5.0,0.024437927
112,10186,15.0,0.07331378
113,10186,2.0,0.009775171
114,10186,7.0,0.0342131
115,10187,8.0,0.039100684
116,10187,18.0,0.08797654
117,10187,6.0,0.029325513
118,10187,2.0,0.009775171
119,10187,3.0,0.014662757
120,10187,16.0,0.07820137
121,10187,10.0,0.048875853
122,10187,0.0,0.0
123,10187,27.0,0.1319648
124,10187,8.0,0.039100684
125,10188,35.0,0.1710655
126,10188,6.0,0.029325513
127,10188,13.0,0.06353861
128,10188,3.0,0.014662757
129,10188,6.0,0.029325513
130,10188,12.0,0.058651026
131,10188,10.0,0.048875853
132,10188,5.0,0.024437927
133,10188,13.0,0.06353861
134,10188,2.0,0.009775171
135,10189,11.0,0.05376344
136,10189,5.0,0.024437927
137,10189,7.0,0.0342131
138,10189,16.0,0.07820137
139,10189,0.0,0.0
140,10189,12.0,0.058651026
141,10189,11.0,0.05376344
142,10189,16.0,0.07820137
143,10189,3.0,0.014662757
144,10189,0.0,0.0
145,101810,7.0,0.0342131
146,101810,3.0,0.014662757
147,101810,10.0,0.048875853
148,101810,0.0,0.0
149,101810,2.0,0.009775171
150,101810,1.0,0.0048875855
151,101810,14.0,0.0684262
152,101810,1.0,0.0048875855
153,101810,22.0,0.10752688
154,101810,1.0,0.0048875855
155,101811,9.0,0.04398827
156,101811,7.0,0.0342131
157,101811,6.0,0.029325513
158,101811,9.0,0.04398827
159,101811,9.0,0.04398827
160,101811,10.0,0.048875853
161,101811,2.0,0.009775171
162,101811,15.0,0.07331378
163,101811,22.0,0.10752688
164,101811,10.0,0.048875853
165,101812,1.0,0.0048875855
166,101812,7.0,0.0342131
167,101812,4.0,0.019550342
168,101812,5.0,0.024437927
169,101812,2.0,0.009775171
170,101812,16.0,0.07820137
171,101812,0.0,0.0
172,101812,2.0,0.009775171
173,101812,16.0,0.07820137
174,101812,20.0,0.09775171
175,101813,3.0,0.014662757
176,101813,0.0,0.0
177,101813,5.0,0.024437927
178,101813,0.0,0.0
179,101813,10.0,0.048875853
180,101813,4.0,0.019550342
181,101813,24.0,0.11730205
182,101813,38.0,0.18572825
183,101813,22.0,0.10752688
184,101813,14.0,0.0684262
185,101814,35.0,0.1710655
186,101814,26.0,0.12707722
187,101814,59.0,0.28836754
188,101814,72.0,0.35190615
189,101814,0.0,0.0
190,101814,25.0,0.12218964
191,101814,75.0,0.36656892
192,101814,6.0,0.029325513
193,101814,68.0,0.33235583
194,101814,66.0,0.32258064
195,101815,80.0,0.39100683
196,101815,64.0,0.31280547
197,101815,26.0,0.12707722
198,101815,6.0,0.029325513
199,101815,77.0,0.37634408
200,101815,6.0,0.029325513
201,101815,6.0,0.029325513
202,101815,11.0,0.05376344
203,101815,10.0,0.048875853
204,101815,39.0,0.19061583
205,101816,48.0,0.2346041
206,101816,2.0,0.009775171
207,101816,9.0,0.04398827
208,101816,2.0,0.009775171
209,101816,0.0,0.0
210,101816,27.0,0.1319648
211,101816,15.0,0.07331378
212,101816,5.0,0.024437927
213,101816,4.0,0.019550342
214,101816,17.0,0.08308896
215,101817,8.0,0.039100684
216,101817,3.0,0.014662757
217,101817,8.0,0.039100684
218,101817,1.0,0.0048875855
219,101817,6.0,0.029325513
220,101817,11.0,0.05376344
221,101817,5.0,0.024437927
222,101817,21.0,0.102639295
223,101817,6.0,0.029325513
224,101817,0.0,0.0
225,101818,15.0,0.07331378
226,101818,34.0,0.16617791
227,101818,1.0,0.0048875855
228,101818,32.0,0.15640274
229,101818,0.0,0.0
230,101818,31.0,0.15151516
231,101818,8.0,0.039100684
232,101818,17.0,0.08308896
233,101818,15.0,0.07331378
234,101819,51.0,0.24926686
235,101819,13.0,0.06353861
236,101819,1.0,0.0048875855
237,101819,5.0,0.024437927
238,101819,18.0,0.08797654
239,101819,43.0,0.21016617
240,101819,37.0,0.18084067
241,101819,26.0,0.12707722
242,101819,6.0,0.029325513
243,101819,31.0,0.15151516
244,101820,24.0,0.11730205
245,101820,135.0,0.6598241
246,101820,19.0,0.092864126
247,101820,11.0,0.05376344
248,101820,113.0,0.5522972
249,101820,170.0,0.8308895
250,101820,20.0,0.09775171
251,101820,25.0,0.12218964
252,101820,39.0,0.19061583
253,101820,56.0,0.2737048
254,101821,11.0,0.05376344
255,101821,52.0,0.25415444
256,101821,31.0,0.15151516
257,101821,10.0,0.048875853
258,101821,36.0,0.17595308
259,101821,13.0,0.06353861
260,101821,25.0,0.12218964
261,101821,29.0,0.14173998
262,101821,0.0,0.0
263,101821,32.0,0.15640274
264,101822,0.0,0.0
265,101822,18.0,0.08797654
266,101822,37.0,0.18084067
267,101822,19.0,0.092864126
268,101822,17.0,0.08308896
269,101822,21.0,0.102639295
270,101822,1.0,0.0048875855
271,101822,19.0,0.092864126
272,101822,16.0,0.07820137
273,101822,3.0,0.014662757
274,101823,20.0,0.09775171
275,101823,0.0,0.0
276,101823,6.0,0.029325513
277,101823,7.0,0.0342131
278,101823,4.0,0.019550342
279,101823,17.0,0.08308896
280,101823,10.0,0.048875853
281,101823,17.0,0.08308896
282,101823,19.0,0.092864126
283,101823,1.0,0.0048875855
284,101824,1.0,0.0048875855
285,101824,4.0,0.019550342
286,101824,8.0,0.039100684
287,101824,18.0,0.08797654
288,101824,7.0,0.0342131
289,101824,2.0,0.009775171
290,101824,2.0,0.009775171
291,101824,7.0,0.0342131
292,101824,2.0,0.009775171
293,101824,3.0,0.014662757
294,101825,6.0,0.029325513
295,101825,7.0,0.0342131
296,101825,3.0,0.014662757
297,101825,0.0,0.0
298,101825,7.0,0.0342131
299,101825,2.0,0.009775171
300,101825,0.0,0.0
301,101825,1.0,0.0048875855
302,101825,0.0,0.0
303,101825,6.0,0.029325513
304,101826,3.0,0.014662757
305,101826,7.0,0.0342131
306,101826,12.0,0.058651026
307,101826,17.0,0.08308896
308,101826,16.0,0.07820137
309,101826,24.0,0.11730205
310,101826,24.0,0.11730205
311,101826,15.0,0.07331378
312,101826,5.0,0.024437927
313,101826,4.0,0.019550342
314,101827,16.0,0.07820137
315,101827,24.0,0.11730205
316,101827,11.0,0.05376344
317,101827,7.0,0.0342131
318,101827,5.0,0.024437927
319,101827,22.0,0.10752688
320,101827,22.0,0.10752688
321,101827,23.0,0.112414464
322,101827,14.0,0.0684262
323,101827,10.0,0.048875853
324,101828,5.0,0.024437927
325,101828,0.0,0.0
326,101828,7.0,0.0342131
327,101828,2.0,0.009775171
328,101828,0.0,0.0
329,101828,18.0,0.08797654
330,101828,8.0,0.039100684
331,101828,2.0,0.009775171
332,101828,1.0,0.0048875855
333,101828,0.0,0.0
334,101829,38.0,0.18572825
335,101829,2.0,0.009775171
336,101829,10.0,0.048875853
337,101829,2.0,0.009775171
338,101829,3.0,0.014662757
339,101829,5.0,0.024437927
340,101829,1.0,0.0048875855
341,101829,5.0,0.024437927
342,101829,11.0,0.05376344
343,101829,11.0,0.05376344
344,101830,7.0,0.0342131
345,101830,15.0,0.07331378
346,101830,6.0,0.029325513
