ID,Time,Sensorvalue,Voltage
0,10191,14.0,0.0684262
1,10191,2.0,0.009775171
2,10191,4.0,0.019550342
3,10191,16.0,0.07820137
4,10191,23.0,0.112414464
5,10191,15.0,0.07331378
6,10191,9.0,0.04398827
7,10191,0.0,0.0
8,10192,1.0,0.0048875855
9,10192,2.0,0.009775171
10,10192,3.0,0.014662757
11,10192,2.0,0.009775171
12,10192,10.0,0.048875853
13,10192,0.0,0.0
14,10192,4.0,0.019550342
15,10192,3.0,0.014662757
16,10192,0.0,0.0
17,10192,11.0,0.05376344
18,10193,6.0,0.029325513
19,10193,4.0,0.019550342
20,10193,0.0,0.0
21,10193,8.0,0.039100684
22,10193,6.0,0.029325513
23,10193,3.0,0.014662757
24,10193,4.0,0.019550342
25,10193,11.0,0.05376344
26,10193,3.0,0.014662757
27,10193,20.0,0.09775171
28,10194,6.0,0.029325513
29,10194,12.0,0.058651026
30,10194,9.0,0.04398827
31,10194,9.0,0.04398827
32,10194,5.0,0.024437927
33,10194,10.0,0.048875853
34,10194,2.0,0.009775171
35,10194,0.0,0.0
36,10194,0.0,0.0
37,10194,12.0,0.058651026
38,10195,0.0,0.0
39,10195,1.0,0.0048875855
40,10195,11.0,0.05376344
41,10195,10.0,0.048875853
42,10195,9.0,0.04398827
43,10195,6.0,0.029325513
44,10195,4.0,0.019550342
45,10195,2.0,0.009775171
46,10195,0.0,0.0
47,10195,6.0,0.029325513
48,10196,1.0,0.0048875855
49,10196,8.0,0.039100684
50,10196,2.0,0.009775171
51,10196,17.0,0.08308896
52,10196,15.0,0.07331378
53,10196,7.0,0.0342131
54,10196,3.0,0.014662757
55,10196,6.0,0.029325513
56,10196,62.0,0.3030303
57,10196,14.0,0.0684262
58,10197,96.0,0.4692082
59,10197,98.0,0.47898337
60,10197,29.0,0.14173998
61,10197,72.0,0.35190615
62,10197,0.0,0.0
63,10197,19.0,0.092864126
64,10197,4.0,0.019550342
65,10197,7.0,0.0342131
66,10197,21.0,0.102639295
67,10198,34.0,0.16617791
68,10198,9.0,0.04398827
69,10198,14.0,0.0684262
70,10198,11.0,0.05376344
71,10198,1.0,0.0048875855
72,10198,2.0,0.009775171
73,10198,31.0,0.15151516
74,10198,1.0,0.0048875855
75,10198,5.0,0.024437927
76,10198,40.0,0.19550341
77,10199,1.0,0.0048875855
78,10199,3.0,0.014662757
79,10199,4.0,0.019550342
80,10199,0.0,0.0
81,10199,20.0,0.09775171
82,10199,6.0,0.029325513
83,10199,44.0,0.21505377
