ID,Time,Sensorvalue,Voltage
0,102058,4.0,0.019550342
1,102058,8.0,0.039100684
2,102058,12.0,0.058651026
3,102058,8.0,0.039100684
4,102058,17.0,0.08308896
5,102058,2.0,0.009775171
6,102058,7.0,0.0342131
7,102058,9.0,0.04398827
8,102058,5.0,0.024437927
9,102058,18.0,0.08797654
10,102059,6.0,0.029325513
11,102059,25.0,0.12218964
12,102059,25.0,0.12218964
13,102059,4.0,0.019550342
14,102059,8.0,0.039100684
15,102059,10.0,0.048875853
16,102059,14.0,0.0684262
17,102059,17.0,0.08308896
18,102059,8.0,0.039100684
19,102059,6.0,0.029325513
20,10210,8.0,0.039100684
21,10210,6.0,0.029325513
22,10210,8.0,0.039100684
23,10210,15.0,0.07331378
24,10210,0.0,0.0
25,10210,9.0,0.04398827
26,10210,22.0,0.10752688
27,10210,8.0,0.039100684
28,10210,2.0,0.009775171
29,10210,5.0,0.024437927
30,10211,6.0,0.029325513
31,10211,21.0,0.102639295
32,10211,1.0,0.0048875855
33,10211,28.0,0.1368524
34,10211,18.0,0.08797654
35,10211,103.0,0.5034213
36,10211,64.0,0.31280547
37,10211,31.0,0.15151516
38,10211,103.0,0.5034213
39,10211,24.0,0.11730205
40,10212,30.0,0.14662756
41,10212,96.0,0.4692082
42,10212,18.0,0.08797654
43,10212,1.0,0.0048875855
44,10212,41.0,0.20039101
45,10212,12.0,0.058651026
46,10212,11.0,0.05376344
47,10212,4.0,0.019550342
48,10212,1.0,0.0048875855
49,10212,10.0,0.048875853
50,10213,22.0,0.10752688
51,10213,11.0,0.05376344
52,10213,7.0,0.0342131
53,10213,2.0,0.009775171
54,10213,7.0,0.0342131
55,10213,4.0,0.019550342
56,10213,1.0,0.0048875855
57,10213,11.0,0.05376344
58,10213,4.0,0.019550342
59,10213,108.0,0.5278592
60,10214,5.0,0.024437927
61,10214,3.0,0.014662757
62,10214,39.0,0.19061583
63,10214,17.0,0.08308896
64,10214,25.0,0.12218964
65,10214,22.0,0.10752688
66,10214,42.0,0.20527859
67,10214,17.0,0.08308896
68,10214,16.0,0.07820137
69,10214,11.0,0.05376344
70,10215,5.0,0.024437927
71,10215,21.0,0.102639295
72,10215,12.0,0.058651026
73,10215,28.0,0.1368524
74,10215,22.0,0.10752688
75,10215,43.0,0.21016617
76,10215,28.0,0.1368524
77,10215,32.0,0.15640274
78,10215,16.0,0.07820137
79,10216,2.0,0.009775171
80,10216,0.0,0.0
81,10216,3.0,0.014662757
82,10216,11.0,0.05376344
83,10216,12.0,0.058651026
84,10216,4.0,0.019550342
85,10216,23.0,0.112414464
86,10216,9.0,0.04398827
87,10216,5.0,0.024437927
88,10216,6.0,0.029325513
89,10217,20.0,0.09775171
90,10217,15.0,0.07331378
91,10217,4.0,0.019550342
92,10217,14.0,0.0684262
93,10217,0.0,0.0
94,10217,7.0,0.0342131
95,10217,6.0,0.029325513
96,10217,15.0,0.07331378
97,10217,11.0,0.05376344
98,10217,5.0,0.024437927
99,10218,2.0,0.009775171
100,10218,6.0,0.029325513
101,10218,12.0,0.058651026
102,10218,5.0,0.024437927
103,10218,6.0,0.029325513
104,10218,2.0,0.009775171
105,10218,16.0,0.07820137
106,10218,4.0,0.019550342
107,10218,13.0,0.06353861
108,10218,0.0,0.0
109,10219,27.0,0.1319648
110,10219,4.0,0.019550342
111,10219,18.0,0.08797654
112,10219,6.0,0.029325513
113,10219,7.0,0.0342131
114,10219,4.0,0.019550342
115,10219,21.0,0.102639295
116,10219,3.0,0.014662757
117,10219,7.0,0.0342131
118,10219,2.0,0.009775171
119,102110,17.0,0.08308896
120,102110,16.0,0.07820137
121,102110,10.0,0.048875853
122,102110,2.0,0.009775171
123,102110,18.0,0.08797654
124,102110,1.0,0.0048875855
125,102110,1.0,0.0048875855
126,102110,1.0,0.0048875855
127,102110,4.0,0.019550342
128,102110,2.0,0.009775171
129,102111,13.0,0.06353861
130,102111,0.0,0.0
131,102111,1.0,0.0048875855
132,102111,12.0,0.058651026
133,102111,8.0,0.039100684
134,102111,3.0,0.014662757
135,102111,14.0,0.0684262
136,102111,10.0,0.048875853
137,102111,6.0,0.029325513
138,102111,13.0,0.06353861
139,102112,10.0,0.048875853
140,102112,0.0,0.0
141,102112,0.0,0.0
142,102112,4.0,0.019550342
143,102112,11.0,0.05376344
144,102112,12.0,0.058651026
145,102112,34.0,0.16617791
146,102112,84.0,0.41055718
147,102112,49.0,0.23949169
148,102112,15.0,0.07331378
149,102113,8.0,0.039100684
150,102113,84.0,0.41055718
151,102113,0.0,0.0
152,102113,1.0,0.0048875855
153,102113,62.0,0.3030303
154,102113,29.0,0.14173998
155,102113,6.0,0.029325513
156,102113,6.0,0.029325513
157,102113,56.0,0.2737048
158,102113,3.0,0.014662757
159,102114,13.0,0.06353861
160,102114,8.0,0.039100684
161,102114,18.0,0.08797654
162,102114,17.0,0.08308896
163,102114,4.0,0.019550342
164,102114,3.0,0.014662757
165,102114,0.0,0.0
166,102114,5.0,0.024437927
167,102114,14.0,0.0684262
168,102114,1.0,0.0048875855
169,102115,4.0,0.019550342
170,102115,7.0,0.0342131
171,102115,13.0,0.06353861
172,102115,3.0,0.014662757
173,102115,0.0,0.0
174,102115,0.0,0.0
175,102115,2.0,0.009775171
176,102115,0.0,0.0
177,102115,1.0,0.0048875855
178,102115,2.0,0.009775171
179,102116,0.0,0.0
180,102116,16.0,0.07820137
181,102116,0.0,0.0
182,102116,4.0,0.019550342
183,102116,13.0,0.06353861
184,102116,0.0,0.0
185,102116,26.0,0.12707722
186,102116,6.0,0.029325513
187,102116,12.0,0.058651026
188,102116,14.0,0.0684262
189,102117,9.0,0.04398827
190,102117,0.0,0.0
191,102117,26.0,0.12707722
192,102117,0.0,0.0
193,102117,57.0,0.27859238
194,102117,32.0,0.15640274
195,102117,24.0,0.11730205
196,102117,16.0,0.07820137
197,102117,1.0,0.0048875855
198,102117,12.0,0.058651026
199,102118,3.0,0.014662757
